state,county,issue,correct_county,correct_state,checked_link_1,checked_link_2,checked_link_3,notes
Virginia,Petersburg,spelling,Petersburg City,,,,,
Virginia,Portsmouth,spelling,Portsmouth City,,,,,
Virginia,Radford,spelling,Radford City,,,,,
Virginia,Richmond (City) County,spelling,Richmond City,,yes,,,
Virginia,Salem,spelling,Salem City,,,,,
Virginia,Staunton,spelling,Staunton City,,,,,
Virginia,Staunton (City) County,spelling,Staunton City,,,,,
Virginia,Suffolk,spelling,Suffolk City,,,,,
Virginia,Vicksburg County,wrong state,Warren County,Mississippi,yes,yes,,
Virginia,Virginia Beach,spelling,Virginia Beach City,,,,,
Virginia,Virginia Beach (City) County,spelling,Virginia Beach City,,,,,
Virginia,Warwick County,incorrect name,Newport News City,,yes,,,
Virginia,Waynesboro,spelling,Waynesboro City,,,,,
Virginia,Wight County,incorrect name,Isle Of Wight,,,,,
Virginia,Williamsburg,spelling,Williamsburg City,,,,,
Virginia,Winchester,spelling,Winchester City,,,,,
Virginia,Y,incorrect name,Manassas Park City,,yes,,,
Virginia,NA,incorrect name,Poquoson City,,,,,
Washington,Lane County,wrong state,Lane County,Oregon,,,,
West Virginia,Mc Dowell County,spelling,McDowell County,,,,,
Wisconsin,Croix County,spelling,St. Croix County,,,,,
Wisconsin,Forest Counthy,spelling,Forest County,,,,,
Wisconsin,Saint Croix County,spelling,St. Croix County,,,,,
